partida_id,clube,cartao,atleta,posicao,minuto
5055,Fluminense,Amarelo,Antônio Carlos dos Santos Aguiar,Zagueiro,34
5056,Athletico-PR,Amarelo,Otávio Henrique Santos,Meio-campo,88
5056,Athletico-PR,Amarelo,Kadu,Zagueiro,70
5055,Fluminense,Vermelho,Magno Alves,Atacante,60
5053,Ponte Preta,Amarelo,Biro-Biro,Meio-campo,84
5053,Ponte Preta,Amarelo,Pablo Castro,Zagueiro,28
5053,Goias,Amarelo,Clayton Sales,Zagueiro,88
5054,Avai,Amarelo,Jeci,Zagueiro,90+6
5054,Avai,Amarelo,Renan Martins Pereira,Meio-campo,23
5054,Figueirense,Amarelo,Marcos Assis de Santana,Atacante,59
5054,Figueirense,Amarelo,Roberto Cereceda,Zagueiro,28
5055,Fluminense,Amarelo,José Renato da Silva Júnior,Zagueiro,87
5055,Fluminense,Amarelo,Marcos Júnior,,78
5055,Fluminense,Amarelo,Lucas Pierre Santos Oliveira,Meio-campo,57
